,_id,year,para,term
9671,4fc0819845c1498b0d32cb9a,1924,"President Coolidge was told today by Senator Oddie of Nevada, a member of the Senate committee which recently investigated the Veterans' Bureau, that the bureau has not undergone the reorganization it needs despite the disclosures made by the investigation. Veterans' Bureau Inquiry Brought No Change, Oddie Tells Coolidge, Urging a 'Shake-Up'",president coolidge
26250,4fc099cb45c1498b0d39c42c,1924,"While President Coolidge refused to comment today upon the action of Governor Charles W. Bryan of Nebraska, the Democratic nominee for Vice President, in criticizing the purposes and scope of the Defense Day test to be held Sept. 12, the War Department replied to the Governor and upheld the Administration's program. WAR DEPARTMENT ANSWERS BRYAN ON DEFENSE DAY; Shows That It Had His Promise to Cooperate After He Had Seen the Plans.",president coolidge
23990,4fc096f645c1498b0d38e91d,1924,"Although it was only yesterday that President Coolidge declared against any rate changes in the Mellon tax bill, Chairman Green, by direction of his Republican colleagues of the Ways and Means Committee, made an offer to the Democrats today to compromise on a nonpartisan measure which would receive approval by the House. OFFERS COMPROMISE ON MELLON TAX BILL; Green, for Committee Republicans, Proposes to Democrats a Non-Partisan Measure.",president coolidge
2483,4fc076e945c1498b0d2fa813,1921,"WASHINGTON, May 6.--Senators Knox, New and Johnson, members of the irreconcilable group in the Senate, refused tonight to comment on the Government's acceptance of the allied invitation to send representatives to three allied bodies. 'BITTER-ENDERS' RESERVE COMMENT; Borah Refuses to Talk of Harding Action--Not Entangling, Says Moses.McCUMBER HAS DOUBTSThinks We Ought Not to Enterby Back Door if We Won'tGo In by the Front.",harding
2225,4fc0763145c1498b0d2f7140,1921,"LONDON, June 21.--The outstanding feature of the second session of the Imprial Conference which was held today at 10 Downing Street was an address by General Jan Christian Smuts, Premier of the Union of South Africa, who rose to the full height of his reputation as a statesman of broad vision and high ideals. SMUTS SAYS WORLD NOW MUST TURN TO THE FAR EAST; Tells Imperial Conference Next Great Chapter in Human History Will Be Enacted There.AMERICA THE BEST FRIENDSees Empire's Only Path ofSafety That Which Can BeTrodden With Us. OTHER PREMIERS ACQUIESCEHarding's View Is British CordialityIs ""Not Out of Harmony WithAmerican Attitude.""",harding
1937,4fc074d445c1498b0d2f114a,1921,"WASHINGTON, March 29.--President Harding and his Cabinet heard today a disturbing story of the economic situation in the country that brought them to a fuller realization of the serious obstacles to a return to pre-war prosperity. CABINET CONSIDERS RELIEF FOR PLIGHT OF THE RAILROADS; Harding Is Concerned Over Business Depression Due to Transportation Conditions. CALLS FEDERAL CHAIRMEN Clark of Commerce Commission and Barton of Labor Board Will Confer With Him. HIGH RATES CUT TRAFFIC Changes in Transportation Act to Be Taken Up--Cummins Urges Reducing Costs.",harding
19261,4fc0912845c1498b0d372ffe,1924,"Teapot Dome will be the dominant theme of the State campaign, according to Democratic leaders, who declare that the nomination of Colonel Theodore Roosevelt has made it necessary for the Republicans to make their fight on national issues both for the election of Governor and to keep the State in the Coolidge column. DEMOCRATS TO MAKE OIL THE BIG ISSUE IN SMITH CAMPAIGN; Roosevelt's Nomination Brings Teapot Dome to Front in Gubernatorial Fight.",coolidge
21709,4fc093fa45c1498b0d380562,1924,"President Coolidge, in a radio address delivered tonight from the White House, combined with a tribute to Washington an appeal to the American people to accept the responsibilities and continue the sacrifices necessary to make enduring the institutions which Washington founded. WASHINGTON IDEALS URGED BY COOLIDGE TO END PRESENT ILLS; Must Make Sacrifices, He Says, if the Institutions He Founded Are to Endure. ANY FAILURE WILL BE OURS Liberty Here Means the Opportunity to Do Everything for Ourselves. TRIBUTE SENT BY RADIO Address From the White House Goes to Millions All Over the Land. WASHINGTON IDEALS URGED BY COOLIDGE",coolidge
21148,4fc0938845c1498b0d37ded1,1924,"While many political observers contend that President Coolidge stands a better chance of election in November than John W. Davis, the Democratic candidate for President, some of those most intimately concerned in the Republican campaign do not profess to be able to produce convincing figures of an electoral vote that will give the victory to the Republican ticket. REPUBLICANS ADMIT THEIR 'SURE' STATES FAIL OF MAJORITY; Those Now Counted as Certain for Coolidge Have Only 206 Electoral Votes.",coolidge
27719,4fc09b6e45c1498b0d3a3e51,1928,"HELENA, Mont., Sept. 24.--Speaking in the home town of Senator Thomas J. Walsh, who, as the Senate's prosecutor, forced the disclosure of the naval oil lease scan dals, Governor Smith tonight placed responsibility for official ""corruption"" in Washington upon the Republican Party. SMITH CALLS CORRUPTION REPUBLICAN PARTY BURDEN; ATTACKS HOOVER'S SILENCE; OIL SCANDALS DENOUNCED Governor Declares Leases Fraud and Treason Against Nation. CITES SUPREME COURT VIEW Hoover's Praise of Administration of Last Seven and a Half Years Challenged in Helena.ASSAILED ON NOTE TO FALLMellon Is Also Criticized--Candidate Gets Hearty Welcome--Indians Adopt Him. Crowded Auditorium Hears Him. Criticizes Mellon's Silence. SMITH DISCUSSES THE OIL SCANDAL Points to Supreme Court Finding. State's Reception Warm Hearted. Indian Tribes Adopt Candidate. Farmers Promise Support. Stand on McNary Bill Praised. Wheeler Sees Gain for Smith. Highway Named for Governor.",governor smith
