,_id,year,para,term
28316,4fc496ae45c1498b0da78a14,1977,"WASHINGTON, Dec. 28?President Carter said tonight that Prime Minister Menahem Begin of Israel had taken ""a long step forward"" in offering self-rule for Palestinians on the West Bank of the Jordan River and in the Gaza Strip. He affirmed that the United States did not agree with President Anwar el-Sadat of Egypt that the Palestinians should be given an independent state. Carter, in TV Interview, Affirms Opposition to a Palestinian State; PALESTINIAN STATE OPPOSED BY CARTEL",sadat
30091,4fc4997e45c1498b0da83f04,1977,"TRIPOLI, Libya, Monday, Dec. 5 The summit meeting of hard-line Arab countries failed here early today to achieve its principal aim of a strong united front against the peace initiative taken by President Anwar el-Sadat of Egypt when a key participant, Iraq, walked out. ARAB MEETING FAILS TO FORGE JOINT FRONT AGAINST SADAT MOVES; IRAQ SAID TO SPURN ACCORD Other Hard-Line States Agree at Tripoli Parley on a Program to Isolate Egyptian Leader ANTI-SADAT MEETING FAILS TO REACH UNITY",sadat
24542,4fc4918245c1498b0da61e4e,1977,"CAIRO, July 22 Egyptian planes bombed and strafed a Libyan air base today, the second day of major military clashes between the two countries, a military spokesman here announced. SADAT'S JETS POUND AN AIR BASE IN LIBYA; HE ASSAILS QADDAFI; ATTACK IS CALLED RETALIATORY President Blames the Libyan Leader, Whom He Describes as 'That Very Strange Person' Sadat's Jets Pound an Air Base In Libya; Leader Assails Qaddafi",sadat
13289,4fc4825745c1498b0da1fd69,1973,A lawyer in the Watergate trial said today that one of the two remaining defendants would attempt to justify his actions on the ground that he had feared violence against President Nixon and other leading Republicans. Watergate Defendant to Plead He Acted to Forestall Violence; Watergate Defendant to Plead He Acted to Forestall Violence Potentially Violent' Array of Devices,watergate
11490,4fc47fab45c1498b0da15749,1973,"John D. Ehrlichman ended today his five days of testimony before the Senate Watergate committee as he had begun last Tuesday, by insisting that neither he nor President Nixon was involved in any aspect of the Watergate cover-up. ENRLICHMAN ENDS ON LOYALTY NOTE; Finishes Senate Testimony by Reaffirming Innocence and Defending President Excerpts from the Ehrlichman testimony are on Page 22. Ehrlichman Ends 5-Day Testimony on Loyalty Note Keep 'Your Eyes Open' Contention Repeated",watergate
12385,4fc4812c45c1498b0da1a943,1973,President Nixon named former Secretary of Defense Melvin R. Laird as his chief domestic adviser today in an effort to. shore up the Administration during the Watergate crisis. Haig to Quit Army to Hold haldeman Post as Civilian; Laird Named Domestic Aide to Nixon Laird Predicts Action Nixon Answers Urged,watergate
24434,4fc4917d45c1498b0da61696,1977,"WASHINGTON, Oct. 27--In a surprise move, the Senate today gave back to President Carter a key part of his energy program--a tax on the use of oil and natural gas by industry. Senate Votes Tax on Industry Use Of Oil and Gas, a Key Carter Plan",president carter
26799,4fc494cd45c1498b0da70157,1977,"WASHINGTON, May 23 President Carter signed into law today a bill designed to save low-income and middle-income taxpayers more than $5 billion this year as part of a $34.2 billion Federal tax cut spread over the next 28 months. $34 BILLION TAX CUT SIGNED BY PRESIDENT; RETURNS SIMPLIFIED; Bill Also Gives Credits to Business to Create Jobs $225 Million in Drought Aid Is Approved $34 BILLION TAX CUT SIGNED BY PRESIDENT",president carter
32980,4fc49dfc45c1498b0da989bf,1977,"WASHINGTON, April 22 President Carter said today that he could not guarantee that all money collected by the Federal Government through the taxes proposed in his energy plan would be returned to the American people through rebates and refunds. PRESIDENT ASSERTS HE CAN'T VOW REFUND OF ALL ENERGY TAXES; 'SOME FLEXIBILITY' IS REQUIRED He Says 'Every Nickel' May Not Go to Public but His 'Inclination' Is to Insure Substantial Credits",president carter
21886,4fc48df845c1498b0da523e3,1974,"President Nixon announced tonight that the Arab oil-producing nations would hold an ""urgent meeting"" to discuss lifting the oil embargo against the United. States following Secretary of State Kissinger's role in bringing about a troop-separation agreement between Egypt and Israel. President Nixon addressing Congress last night. Vice President Ford listens. Nixon Says Arab Meeting Will Weigh End to Oil Ban; NIXON ANNOUNCES ARAB OIL MEETING Reports 'Urgent' Session on Lifting of Oil EmbargoKissinger Effort Cited Contacts With Mideast Leaders Will Not Be Coerced'",kissinger
