decade,year,web_url,term,headline_russell
1900,1901.0,https://query.nytimes.com/gst/abstract.html?res=9F07E4DF1030E132A25752C1A9629C946097D6CF,teuton,J.P. MORGAN ARRIVES.; The Teutonic in After a Stormy Passage -- London Paper Says He May Settle Isthmian Canal Problem.
1900,1901.0,https://query.nytimes.com/gst/abstract.html?res=9404E6DF103EE333A25751C2A96E9C946097D6CF,teuton,SIR THOMAS LIPTON HEARTILY WELCOMED; Harbor Noisy with Salutes While the Teutonic Slowly Passes. SHAMROCK II. DIPS HER FLAG British Yachtsman's First Words an Expression of Hope that Good Feeling Will Mark the Great Race.
1900,1900.0,https://query.nytimes.com/gst/abstract.html?res=9F01E0DD113BEE33A25754C1A9649C946197D6CF,trench,"BRITISH ARRIVE AT KIMBERLEY(2); Gen. French Takes Dinner There at the Club. BOER TROOPS DRIVEN AWAY Their Laager, Supplies, and Am- munition Captured. BRITISH LOSS WAS 20 Gen. Roberts Reports that the Magers- fontein Trenches Were Abandoned by the Boers, Who Are Try- ing to Escape."
1900,1900.0,https://query.nytimes.com/gst/abstract.html?res=9A01E3DF1339E733A25750C0A9659C946197D6CF,trench,"ROBERTS FACES A BIG BOER ARMY; Finds 6,000 Burghers About 8 Miles from Paardeberg. JOUBERT IS FURTHER ON He Is Said to be Concentrating a Force. NONE NEAR LADYSMITH Buller Reports They Took Away All Their Guns and Wagons. Gen. Cronje Arrives at Cape Town and Is Placed on Board a Cruiser -- Boer Women Were Found in the Trenches at Paardeberg."
1900,1900.0,https://query.nytimes.com/gst/abstract.html?res=9E01E0DD113BEE33A25754C1A9649C946197D6CF,trench,"BRITISH ARRIVE AT KIMBERLEY; Gen. French Takes Dinner There at the Club. BOER TROOPS DRIVEN AWAY Their Laager, Supplies, and Am- munition Captured. BRITISH LOSS WAS 20 Gen. Roberts Reports that the Magers- fontein Trenches Were Abandoned by the Boers, Who Are Try- ing to Escape."
1900,1903.0,https://query.nytimes.com/gst/abstract.html?res=9E04E0DE1539E433A25755C0A9649D946297D6CF,huerta,"CONSPIRACY IN PANAMA; Army Officers Arrested for Plotting Revolt. DEPORTED FROM ISTHMUS Letter Intercepted Which Revealed Plan to Assassinate Gen. Huertas, the Commander of the Republic's Forces."
1900,1906.0,https://query.nytimes.com/gst/abstract.html?res=9C05EED91231E733A25756C2A96F9C946797D6CF,lansing,RACE TRACK WAR GOES ON.; Cassidy-Lansing Bill Will Be Introduced Again at Next Session.
1900,1903.0,https://query.nytimes.com/gst/abstract.html?res=9D07E7DA1130E733A25750C2A9649C946297D6CF,villa,MOORISH REVOLT NOT QUELLED; Heads Sent to Fez Largely Those of Villagers -- Cruel Measures Said to be Necessary.
1900,1903.0,https://query.nytimes.com/gst/abstract.html?res=9E0CEED9163AE733A25752C2A9649C946297D6CF,villa,"VALLOMBROSA FOREST ON FIRE; The Villa Medici Burned -- Milton's Famous Lines on the ""Autumnal Leaves"" in Vailombrosa."
1900,1903.0,https://query.nytimes.com/gst/abstract.html?res=9B05E1D91130E733A25750C0A9659C946297D6CF,villa,SIX KILLED; A SCORE HURT IN EXPLOSION.; Disaster Wrecks Edison Cement Plant in New Jersey -- Bodies of Workmen in the Burning Ruins at New Village Near Stewartsville.
