,_id,year,para,term
45075,536bab1038f0d874ed8fc79a,1964,USSR charges Albania seized USSR Embassy bldgs in Tirana after having ousted 3 caretakers in Dec; protests seizure; 1 bldg illus ALBANIANS SEIZE SOVIET BUILDINGS,illus
43132,535faabe38f0d82813923670,1964,To be razed with 2 adjoining mansions for commercial bldg; illus; had been designated by NYC Landmarks Preservation Comm as worthy of preservation; houses under contract of sale to A Campagna from Elec and Electronics Engineers Inst Landmark Mansion on 79th St. to Be Razed,illus
44844,536b9b3238f0d8040ba1d8e9,1964,Illus U.S. HALTS FLOW OF FUNDS TO GUM AT GUANTANAMO,illus
43903,5360204938f0d87ca6ee05db,1964,Chmn McKeon names Dem task force to set up legis priorities for '65 session; newly elected Sens from NYC criticize it at conf with Zaretzki; complain they were not consulted about formation and fear it will propose programs they cannot support; task force headed by W J vanden Heuvel; other members Albany Task Force Divides Democrats,conf
41949,535f17e738f0d8281391b524,1964,State Dept concedes Amer pilots fly combat missions; had insisted civilians of other nations were piloting Amer planes; attributes shift to 'new' data from Leopoldville Embassy FLIGHTS IN CONGO CONFIRMED BY U.S.,conf
41923,535f151538f0d8281391b2b6,1964,"African bloc reluctantly accepts terms for continuing agency already approved by West, Asia and Latin Amer; recurrent confs, special council to meet twice a yr, and small permanent secretariat, all under UN, planned; bodies would have little power U.N. CONFERENCE AGREES TO FORM A TRADE AGENCY",conf
7438,4fc40c6c45c1498b0d8d395b,1961,"United Nations cannon-firing jets destroyed four Katanga planes, the United Nations command announced today. KEY POINT SEIZED; Swedish Troops Gain -- U.S. Consul Under House Arrest U.N. JETS DESTROY 4 KATANGA PLANES",katanga
5424,4fc4091d45c1498b0d8c4c15,1961,The United Nations command in the Congo removed white officers from the army of secessionist Katanga Province today. The operation was apparently aimed at helping to put the province back under the rule of the Leopoldville Government. U.N. Jails European Officers Serving With Katanga's Army; U.N. TROOPS SEIZE KATANGA WHITES,katanga
6049,4fc40a2345c1498b0d8c97f6,1961,"A substantial majority of the United Nations called tonight upon France to negotiate her withdrawal from the naval base of Bizerte in Tunisia. A special session of the General Assembly thus ended in a victory for Tunisia, whose demands for evacuation produced an armed clash with France last month. U.N. Backs Tunisia, 66-0, On Bizerte as 30 Abstain; U.N. Flies Troops to Katanga To Disarm Secessionist Army",katanga
18759,4fc4208045c1498b0d9317f5,1965,President Johnson is sending Henry Cabot Lodge to consult with six friendly governments in Asia and the South Pacific on the situation in Vietnam. U.S. SENDING LODGE ON MISSION TO ASIA; He Will Consult on Vietnam With 6 Friendly Nations as Johnson's Representative JOHNSON SENDING LODGE ON MISSION,president johnson
