rank,word,overindex,year
0,president roosevelt,1.8941994001901838,1900
1,odell,1.8571946341418903,1900
2,jerome,1.8335799514461446,1900
3,boer,1.830365693150563,1900
4,platt,1.8107562024192354,1900
5,pittsburg,1.709958242058802,1900
6,harriman,1.6104046542829353,1900
7,bishop,1.5615463120081052,1900
8,vanderbilt,1.5277808545788933,1900
9,trolley,1.5160834211275207,1900
10,japanese,1.509159369552636,1900
11,hearst,1.4976678703408768,1900
12,gould,1.4954316770854394,1900
13,insurance,1.4778159892945377,1900
14,cleveland,1.4741401127324605,1900
15,burglar,1.4637418258601504,1900
16,chinese,1.4536489975526354,1900
17,negro,1.4524127149323558,1900
18,yacht,1.4504522852774744,1900
19,arthur,1.4433666893891557,1900
20,burned,1.4332192818220004,1900
21,iron,1.4317438915871339,1900
22,trouble,1.4273273543878917,1900
23,pennsylvania,1.408262555802142,1900
24,collision,1.4078003703671493,1900
25,horse,1.4074086024033257,1900
26,accident,1.3992056451275787,1900
27,ice,1.3926852593346981,1900
28,st louis,1.3917134400603028,1900
29,panic,1.391475785452384,1900
30,standard,1.3846231090460286,1900
31,company,1.3757623928171792,1900
32,gas,1.3752469692348903,1900
33,rev,1.3741612688490443,1900
34,drowned,1.3735437005530529,1900
35,trust,1.3714814328199563,1900
36,track,1.36879151704397,1900
37,china,1.3628795311591833,1900
38,property,1.3560547482528857,1900
39,badly,1.3543542081724032,1900
40,thomas,1.3541194800455076,1900
41,baltimore,1.353994858713909,1900
42,fireman,1.3501202474988823,1900
43,tariff,1.346848550614798,1900
44,race,1.3456460735401234,1900
45,church,1.34341371220587,1900
46,kansa,1.3405710161290831,1900
47,electric,1.340056431352517,1900
48,carnegie,1.3395682881790418,1900
49,texas,1.335278526768016,1900
0,u-boat,3.1456594692868016,1910
1,teuton,3.076415680185034,1910
2,petrograd,3.03096087376731,1910
3,-,2.9751494620468932,1910
4,trench,2.952890330385453,1910
5,huerta,2.9220195947257905,1910
6,lansing,2.8683510960182876,1910
7,villa,2.822037945502186,1910
8,carranza,2.796980656230729,1910
9,president wilson,2.7802390153224996,1910
10,austrian,2.6983909168330453,1910
11,whitman,2.680763035694805,1910
12,neutral,2.6566926836639873,1910
13,offensive,2.5692954032098503,1910
14,wilson s,2.5556232822726295,1910
15,pershing,2.5165732507520677,1910
16,submarine,2.4851728801516058,1910
17,wilson,2.467561175510589,1910
18,sunk,2.428454480600071,1910
19,german,2.3982268891073963,1910
20,artillery,2.341003211215581,1910
21,austria,2.3383124029268276,1910
22,aeroplane,2.313787607380759,1910
23,shell,2.3106438742185573,1910
24,ally,2.285170877846631,1910
25,belgium,2.2030692550744533,1910
26,enemy,2.193857893018578,1910
27,von,2.156637680574292,1910
28,aviator,2.139609602194037,1910
29,kaiser,2.0736485500694783,1910
30,food,2.046534908959921,1910
31,border,2.046485835235603,1910
32,belgian,2.035439428494888,1910
33,foe,2.0230179007378553,1910
34,berlin,1.9661076336131145,1910
35,capture,1.9278767344463377,1910
36,fighting,1.9054380386726768,1910
37,mexican,1.8980288966795298,1910
38,gun,1.8854977677746902,1910
39,allied,1.884036055945715,1910
40,peace,1.8497490976160011,1910
41,germany,1.849609107851792,1910
42,army,1.8160722879221287,1910
43,war,1.7812547572718915,1910
44,gain,1.7613857907055592,1910
45,daily,1.736248655866662,1910
46,wireless,1.712418724107741,1910
47,advance,1.7105436293202605,1910
48,captured,1.710391058984975,1910
49,troop,1.7079257723572268,1910
0,president coolidge,2.955121011309298,1920
1,coolidge,2.8415717770663798,1920
2,harding,2.8369161708569255,1920
3,governor smith,2.801381902597733,1920
4,kellogg,2.5519928969676777,1920
5,hylan,2.4471792169829873,1920
6,dawes,2.411181463158091,1920
7,mellon,2.0789916083027276,1920
8,smith,2.077436947683935,1920
9,byrd,2.025558145991845,1920
10,reparation,1.999169113691122,1920
11,transit,1.945240835615245,1920
12,briand,1.8749567789115313,1920
13,enforcement,1.827420270508175,1920
14,liquor,1.726655894409879,1920
15,dry,1.685892878330257,1920
16,davis,1.6691801362041967,1920
