,_id,year,para,term
18250,4fc3aa2c45c1498b0d7cf14b,1953,"In a surprise move to end the bus strike, Mayor Impellitteri proposed last night that the Transport Workers Union, C. I. O., and the struck bus companies pick their own three-man arbitra tion panel to decide the dispute over union demands for a forty-hour week with no loss in pre-strike take-home pay. Mayor Asks Lines and Union To Pick Bus Strike Arbiters; BUS PEACE OFFER IS MADE BY MAYOR",impellitteri
12029,4fc39ebc45c1498b0d79bfad,1953,"Robert F. Wagner Jr., Borough President of Manhattan, told Harlem audiences last night that Mayor Impellitteri, his rival for the Democratic mayoral nomination in Tuesday's primary, had blocked approval of a civil rights measure in the City Council. MAYOR IS CHARGED WITH BALKING BILL TO AID CIVIL RIGHTS; Wagner in Harlem Declares Measure by Sharkey Was Blocked in City Council IMPELLITTERI MAKES BIDS Tells Police He Saved Jobs by Accepting Transit Agency -- Blaikie Accuses Rivals MAYOR IS ACCUSED ON CITY BIAS BILL",impellitteri
16219,4fc3a67d45c1498b0d7be769,1953,"A majority of the Board of Estimate decided yesterday to stand firm on Mayor Impellitteri's $218,700,000 fiscal program for 1953-54, refusing to purchase substantial financial aid from Governor Dewey's Republican Administration at a price considered politically ruinous by the Democratic leaders of the city's five counties. MAJORITY OF BOARD BARS STATE TERMS FOR CITY FISCAL AID; Stands on Mayor's Plan After Democratic Leaders Report Price Politically Ruinous VOTE ON DECISION IS 5 TO 3 New York's Legislators Held Unwilling to Support Fare Rise or Payroll Impost MAYOR'S FUND PLAN IS UPHELD BY BOARD",impellitteri
12190,4fc39f2a45c1498b0d79ddd2,1953,"Tonight, on the eve of the armistice, front-line G. I.'s faced their last full night of fighting in the thirty-seven-month-old Korean war. Only a few minor clashes had taken place by early morning, and from all indications the war would be unofficially ended by dawn. No patrols were scheduled for tomorrow. Skeptical G. I.'s Finally Convinced; Most Take News With Little Elation; DISBELIEVING G. I.'S FINALLY CONVINCED",korean war
16922,4fc3a7d145c1498b0d7c4828,1953,"United Nations and Communist truce delegations went into secret sessions at Panmunjom today as the Allied command, it was believed, presented a new modified plan to reach an armistice in the Korean war through the disposal of Chinese and North Korean prisoners of war who refused to return behind the Iron Curtain after a cease-fire. KOREA TRUCE TALKS RESUMED IN SECRET; RECESS FOR A WEEK; Allies Said to Present a New Proposal on Issue of Captives Who Refuse Repatriation PLAN'S DETAILS WITHHELD Clark Flies From Japan, Meets With Two Top Commanders of U. N. Prison Stockades NEW TRUCE TALKS RECESS FOR WEEK",korean war
17423,4fc3a8ba45c1498b0d7c8c23,1953,"The Communist delegation at Panmunjom named India, Pakistan, Burma and Indonesia today as Asian nations considered neutral in the Korean war, but refused to nominate any one at this time as the potential custodian for prisoners refusing repatriation. FOE IN KOREA LISTS 4 ASIAN NEUTRALS; BARS A CHOICE NOW; Won't Select India, Pakistan, Burma or Indonesia Till U. N. Agrees to Shift Captives TRUCE TALKS OFF FOR DAY Enemy Prisoners Riot During Repatriation, Drawing Allied Protest to Communists Reds Name Four Nations in Asia As Eligible as Neutrals in Korea",korean war
24286,4fc3b45d45c1498b0d7ff25a,1956,"WASHINGTON, April 24--Secretary of State Dulles said today that the Soviet Union's grip on Eastern Europe was weakening as Titoism gained ground. While there is no evi Dulles Sees Titoism Easing Moscow Grip on Satellites; Tito's Suggestion Recalled DULLES SEES GRIP OF SOVIET EASING",dulles
24674,4fc3b50945c1498b0d802402,1956,"WASHINGTON, Sept. 8--Secretary of State Dulles has softened his previous opposition to referring the Suez Canal dispute to the United Nations, diplomatic sources said today. Dulles Softens Opposition To a U.N. Hearing on Suez; U.S. Said to Be Willing to Join Allies in Move to Bring 'Moral Pressure' on Nasser in World Forum DULLES WEIGHING U.N. MOVE ON SUEZ Agree on 'Moral Pressure'",dulles
26186,4fc3b77e45c1498b0d80db09,1956,"WASHINGTON, Jan. 11-- John Foster Dulles, Secretary of State, issued today a statement telling the country to face up to the economic contest with the Soviet Union in such countries as Egypt, India and Burma. DULLES SPURS U.S. IN ECONOMIC WAR WITH SOVIET UNION; Says 'Defeat in This Contest' in the Mideast and Asia Would Be 'Disastrous' BACKS FOREIGN AID PLAN Appeals for Public's Support of Long-Range Program Offered by President Rejects H-Bomb Bar Dulles Cites Economic Contest With Russians in Mideast, Asia",dulles
36515,4fc3c7f345c1498b0d859995,1956,"WASHINGTON, Jan. 25-- President Eisenhower gave a definite boost today to the political ambitions of Vice President Richard M. Nixon. EISENHOWER LAUDS NIXON AND OPPOSES DRAFT OF WARREN; He Keeps Own Plans Secret --Warns on 'Confusion' of Politics and the Court SLATES NEW TRIP SOUTH Advances Heart Examination --Hopes Not to 'Dilly-Dally' on Second-Term Decision No Final Answer Given PRESIDENT LAUDS NIXON'S ABILITY Won't Comment on Convention",president eisenhower
25873,4fc3b70545c1498b0d80b3ac,1956,"WASHINGTON, June 6--President Eisenhower refused today to intervene in the Wisconsin primary election, in which Senator Alexander Wiley faces a fight for the Republican nomination. President to Shun Role in Wiley Race; Senator in Accord; President Finds Some Advantage For U.S. in Attitude of Neutrals",president eisenhower
28709,4fc3bb7745c1498b0d8205d4,1956,"PHILADELPHIA, Nov. 2-- President Eisenhower is clinging to a lead in this state so insubstantial that it could be washed away by a heavy rain on election day. PRESIDENT LEADS IN PENNSYLVANIA; Slim Edge Not Widened Yet by Crises Abroad--Clark's Margin for Senate Cut Eisenhower Holding Thin Edge In Pennsylvania, Clark Lead Cut Economic Worries Show Could Tilt Either Way",president eisenhower
17797,4fc3a96145c1498b0d7cbe04,1953,President Eisenhower said today that his recommendations for changes in the Taft-Hartley Act would be ready for submission to Congress when it met in January. PRESIDENT PLEDGES ACTION ON TAFT ACT TO A SILENT C. I. O.; Letter States Revisions Fair to All Will Go to Congress -- Reuther Voices Support PRESIDENT PLEDGES ACTION ON TAFT ACT,eisenhower s
17759,4fc3a95e45c1498b0d7cb972,1953,"President Eisenhower's decision to abrogate the United States Seventh Fleet's ""neutralizing"" role in the Strait of Formosa to permit the Chinese Nationalists to carry on whatever operations they can mount against the Communist mainland was seen in Tokyo today as a preliminary move to enlist more Asians in the war against Asian Reds. TOKYO CONCERNED; Eisenhower's Formosa Plan Viewed as Bid for a New Force",eisenhower s
12866,4fc3a03d45c1498b0d7a34ba,1953,"Reporting hopeful prospects for continued good business throughout the country, newspaper executives, here for their annual Newspaper Week, said yesterday that the American people appeared generally to be viewing Soviet ""peace"" moves with caution. PUBLISHERS REPORT PUBLIC IS SKEPTICAL OF RED 'PEACE' BIDS; Arriving for Newspaper Week, They Note Wide Support of Eisenhower's Address BUSINESS OUTLOOK 'GOOD' The Associated Press Will Hear Humphrey Today -- A. N. P. A. Sessions Start Tomorrow PUBLIC HELD WARY OF RED 'PEACE' BIDS",eisenhower s
28385,4fc3bb0045c1498b0d81e075,1955,State Department officials said today the next move was up to the Chinese Communists if they were sincere about their offer to negotiate with the United States over Formosa and Far Eastern questions. U. S. Is Looking to Peiping For Next Move on Meeting; NEXT PARLEY STEP IS PUT UP TO CHOU,formosa
