,Unnamed: 0,_id,year,para,term
0,55546,4fc04e4145c1498b0d23bf6c,1904,"Directing them to vote for President Roosevelt's nomination, the Republican State Convention, which met yesterday at Carnegie Hall, named the following as delegates and alternates to the Republican National Convention to be held in Chicago on June 21: REPUBLICANS CHEER FOR ROOSEVELT; Delegates-at-Large Directed, Not Instructed. ODELL SLATE IS RATIFIED Lack of Enthusiasm Marks State Convention -- Senator Platt Got the Warmest Reception. REPUBLICANS CHEER FOR ROOSEVELT",odell
1,38956,4fc046db45c1498b0d21a8e4,1904,"HIGGINS TO TAKE SIDES IN SENATORSHIP FIGHT; His Relations with Both Depew and Black Friendly, He Says. NOT READY TO TALK, THOUGH Disaffected Brooklyn Republicans Appeal to Odell Against Woodruff and Dady.",odell
2,13326,4fc039fa45c1498b0d1e1b03,1904,"Gov. Odell will to-morrow deny the application of Gov. Dockery of Missouri for the extradition of William Ziegler, the New Yorker who fitted out the Baldwin Polar expedition, and who was indicted on a charge of bribery in connection with the baking powder scandal in the Missouri Legislature. The Governor's decision is based upon an opinion of Attorney General Cunneen which was delivered to him this evening. WON'T EXTRADITE ZIEGLER; Gov. Odell Will Not Honor Missouri Requisition. Ziegler Wanted on a Charge of Bribery -- No Proof That He Was in Missouri When Offense Was Committed.",odell
3,11265,4fc038e045c1498b0d1dbcc5,1900,BULLER FLANKS THE BOERS; Hlangwane Hill of Great Strategical Importance -- Recapture of Railway Expected.,boer
4,19599,4fc03e1a45c1498b0d1f4a02,1900,LANCERS CHARGE THE BOERS.; Matter Defeated with Heavy Loss -- Commandant Brand Wounded.,boer
5,18552,4fc03db545c1498b0d1f26bc,1900,"HEAVY BATTLE IS EXPECTED.; Gen. Buller, It Is Believed, Will Attack Next Week -- Boer Trenches 17 Miles Long Facing Him.",boer
6,42322,4fc0483445c1498b0d220f02,1903,Senator Platt's Grandson in Runaway.,platt
7,29830,4fc0428b45c1498b0d20888f,1903,"Announcement was made by all persons concerned to-day that there is complete harmony among NewYork Republicans as a result of conferences, at the White House. Senator Platt saw President Roosevelt this morning, and Gov. Odell and Congressman Littauer made a separate call later. REPUBLICAN LEADERS REACH AN AGREEMENT; Senator Platt to Have Shipping Commissionership. Gov. Odell Satisfied with Pledge of a Place for Mr. Worden -- Divided Opinion at Albany.",platt
8,29999,4fc042c445c1498b0d208dbf,1903,HAVANA BETTING BILL DEAD.; Platt Amendment Interferes -- Bonded Employes Forbidden to Bet.,platt
9,40221,4fc0475045c1498b0d21ce7d,1907,"Gifts totaling $6,000,000 were made to Pittsburg to-day by Andrew Carnegie, making $23,600,000 he has given to this his home city. Never has an individual given anything like this amount of money to one community. Four millions of the sum goes to the Carnegie Institute, doubling the present endowment, while $2,000,000 is given to the Carnegie Technical Schools. A $6,000,000 CARNEGIE GIFT.; The Present Endowment of the Institute Is Doubled.",pittsburg
10,44773,4fc0496545c1498b0d225fef,1907,HELD AFTER TERMS EXPIRED.; Six Prisoners Detained at Pittsburg Threaten Suits Against State.,pittsburg
11,57720,4fc0506045c1498b0d24482d,1907,"FATHER DIDN'T LIKE BRIDE.; But Wealthy Young Flaccus of Pittsburg Married Her, Nevertheless.",pittsburg
12,66391,4fc054cf45c1498b0d258cfd,1905,District Attorney Jerome to-day brought his Sunday opening bill and two other measures to be introduced in the Legislature and succeeded in finding sponsors for all three of them. JEROME SEES THE GOVERNOR.; His Sunday Opening Bill Introduced in the Senate.,jerome
13,14203,4fc03a8345c1498b0d1e39d4,1905,"Jerome will not be indorsed by Tammany Hall for re-election as District Attorney. This was decided yesterday at a series of meetings between Charles F. Murphy, Senator McCarren, and other leaders of the Democratic organizations of Manhattan and Brooklyn. The leaders from Brooklyn were consulted because of the bearing of the Jerome candidacy on the general situation, although the actual indorsement is solely a New York County matter. MURPHY DECIDES TO REJECT JEROME; Doesn't Want Him in Way of McClellan for Governor. McCARREN, CALLED IN, AGREES Leader and Senator Arm in Arm -- Hunt for a Man to Fill McClellan's Shoes. MURPHY DECIDES TO REJECT JEROME",jerome
14,38032,4fc0467045c1498b0d218cce,1905,"At the Municipal Ownership Convention meeting last night in Carnegie Hall this ticket was nominated: HEARST CONVENTION THE BIGGEST OF ALL; Nominee Says He Has No Misgivings About Winning Now. GOT A 14-MINUTE OVATION "" Boos"" for a Jerome Supporter -- Ford and Stokes Nominated to Fill Out the Ticket. HEARST CONVENTION THE BIGGEST OF ALL",jerome
