,_id,year,para,term
23798,4fc1e2ce45c1498b0d4fdc4c,1934,"Nationwide labor unrest, marked by strikes in many industries, indicates to observers here that another mass movement for organization is under way. This movement is not concerned primarily with organization under the American Federation of Labor -- although the trend is in that direction -- but its chief emphasis is on united action through common effort. UNREST OF LABOR ON UNION QUESTION SPREADS IN NATION; Workers Are Disappointed by NRA Interpretation of Collective Bargaining.",nra
23874,4fc1e30245c1498b0d4fe9bc,1934,"By executive order President Roosevelt today cut the one remaining tie that bound the National Labor Board to the NRA. LABOR BOARD MADE INDEPENDENT BODY; NEW POWER ADDED; President Ends NRA Link, and Adds Five Members to Expedite Action. FOUR COMPANIES CITED Hearings Are Set to Show Why Charges Should Not Be Given to Justice Department. LABOR BOARD FREED FROM RULE OF NRA",nra
22921,4fc1e14345c1498b0d4f5f7b,1934,"The NRA has been informed by its experts to ""gamble"" on a substantial Fall rise in business and a less than usual slump during the remainder of the Summer. FALL BUSINESS RISE PREDICTED BY NRA; SUMMER DROP CUT; Upward Trend Held Definite by Leon Henderson, Citing Homely Indicators. LESS FAMILY DOUBLING-UP This Despite Increase in Marriages -- Small Loans Are Being Rapidly Repaid. FALL BUSINESS RISE PREDICTED BY NRA",nra
42559,4fc20cba45c1498b0d5c29fe,1939,"WASHINGTON, March 22.--The likelihood of a Congressional investigation of the WPA increased today when the Rules Committee of the House approved, by a vote of 7 to 4, a resolution ordering such an inquiry. WPA Investigation Put Up to the House As the Committee Supports It by 7 to 4",wpa
41152,4fc205bc45c1498b0d5a4c94,1939,"WASHINGTON, May 22.--A refund of $54,272 has been demanded from the New York City Department of Public Welfare for ""profits"" made in an alleged illegal manner in the operation of Camp La Guardia with WPA funds, a general Accounting Office investigator ... Relief Refund Asked From City On 'Profits' of Camp La Guardia; Federal Accountant Tells House Inquiry That $54,272 Accrued From 'Illegal' Operations of Refuge for Homeless",wpa
42907,4fc20d9c45c1498b0d5c763f,1939,"WASHINGTON, June 14.--The 1940 relief bill, intended to make the appropriation requested by the Administration go as far as possible toward alleviating the condition of the unemployed, and to separate the Works Progress Administration HOUSE OPENS FIGHT OVER RELIEF BILL; 2 ISSUES TO FORE; $25,000 Limit on WPA Buildings, With Prevailing Wage Ban, to Stir Major Battle ALSO CUT IN YOUTH FUND 19 Reforms Set Up in Measure--Woodrum Says Some Mayorsand Governors 'Racketeer'",wpa
7665,4fc0c7be45c1498b0d46ff9d,1931,"Two ""wonderful boxes,"" which rivaled the fabled purse of Fortunatus in apparent inexhaustibility, enabled Sheriff Thomas M. Farley to deposit $360,660.34 in six years and threequarters, he told the Hofstadter legislative committee at a public hearing yesterday. FARLEY DEPOSITED $360,660 IN 7 YEARS; MOST FROM TIN BOX; Sheriff on Stand Telly Seabury of a 'Wonderful' Receptacle Which Once Held $100,000. HAD DEPOSIT VAULT, TOO 'Kept Putting Money in Banks and Taking It Out Again'-- Says Earnings Were Small. DISPUTES POLICE RAIDERS Denies Knowing of Any Gambling In His Club-Says Keller 'Planted' Pistol on Floor. Had $100,000 in Box at Home. Denies Knowing of Club Game. Sheriff Farley Denies Knowing of Gambling in His Club Contradicts Police Raiders. Suit Over Private Hearings On. Farley Tells of Accounts. Examination of Farley. Cuvillier Offers Objection. Questioning Is Resumed. Questioned on Salary. Kept Little in Banks. McNaboe Aids Witness. Clash on Immunity. Examination on Gambling. Denies Club Was Fortified. Gave Bail for Suspects. Ridicules Keller's Story.",seabury
4030,4fc0bd3845c1498b0d441573,1931,"All papers in the office of Corporation Counsel Arthur J.W. Hilly relating to injunctions obtained against the Police Department from Dec. 31, 1925, to Dec. 31, 1928, will be placed in the hands of the Hofstadter legislative committee today... HILLY CAPITULATES ON POLICE RECORDS; Agrees to Give Seabury Data on Gambling Raid Cases-- Pistol Permits Sifted. HARVEY AIRPORT DEAL UP Improvements on Roads Near Project Under Fire--Theofel Queried on Auto Sales.",seabury
10837,4fc0ce6d45c1498b0d49016c,1931,"The veracity of Colonel Edward C. Carrington, president of the Hudson River Navigation Company and Republican nominee for Borough President of Manhattan, on his relations with George W. Olvany, former leader of Tammany Hall, was challenged yesterday at the public hearing before the Hofstadter legislative committee in the County Court House. CARRINGTON ADMITS HIRING OF OLVANY FOR DEAL WITH CITY; Tells Seabury He Wanted the Influence of Tammany Chief in Sale of Pier. IS CONTRADICTED ON STAND Republican Candidate Accused by McNaboe of Perjury-- Grand Jury Action Asked. SHERWOOD CASE PRESSED Kerrigan Is Accused of Aiding Walker Agent--State Tax Drive on District Leaders Denied. Tax Drive on Leaders Denied. Carrington Is Flatly Contradicted on Pier Sale Tells of Cosgrove Offer. Perjury Charge Is Urged. Sherwood Case Is Pressed. Letter on Olvany. Testifies on Hiring of Olvany. Wanted a ""Fair Price."" Doubted Cosgrove Story. Olvany Telegram Revealed. Talked Only of Fishing. Contradicted on Cosgrove. Tells of Sale Contract. Walker Scored on Sherwood. Kerrigan Denies Charge.",seabury
39593,4fc201c645c1498b0d59341b,1936,"Governor Lehman tonight sent a special message to the Senate and Assembly, earnestly pleading for favorable action on his social security program, which had passed the Senate by unanimous vote but has been buried in the Rules Committee of the Republican controlled Assembly. GOV. LEHMAN MOVES TO BREAK DEADLOCK ON SOCIAL SECURITY; Special Message Urges Action on New Bill, but Republican Assembly Is Defiant. SENATE VOTES IT QUICKLY ' It Is Inconceivable' That Such Important Legislation Will Not Pass, Says Executive. ADJOURNMENT IS RETARDED Assembly Rules Committee Turns Thumbs Down on Ten-Million Relief Appropriation. GOV. LEHMAN MOVES TO BREAK DEADLOCK",governor lehman
30941,4fc1f06945c1498b0d53f73b,1936,"Governor Lehman today reiterated his demand, embodied in a special message sent to the Legislature last night, that his Social Security Bill be brought out of the Assembly Rules Committee for a record vote before the Legislative session comes to a close. ASSEMBLY REJECTS NEW LEHMAN PLEA ON SOCIAL SECURITY; Republicans Refuse to Consider Another Dunnigan Bill or Pass the Original.",governor lehman
27469,4fc1e99a45c1498b0d51ec5e,1936,"Even with Governor Lehman as standard-bearer in the Democratic fight for the Governorship, this State would be lost to President Roosevelt as candidate for a second term, John D.M. Hamilton, Chairman of the Republican National Committee, declared yesterday in an interview given at the Hotel Waldorf-Astoria. HAMILTON CLAIMS STATE FOR LANDON; Declares Roosevelt Will Lose New York Whether Lehman Is Candidate or Not.",governor lehman
12678,4fc0d1cc45c1498b0d49f3d1,1932,"President Hoover will not recommend suspension of the December payments on the European, debts to this country, but will urge Congress to recreate the war debts funding commission with a view to possible revision, THE NEW YORK TIMES learned on good authority tonight. MEET AT THE WHITE HOUSE; 'Progress' Reported in a Statement Issued for the President. AGREE ON NO SUSPENSION But Roosevelt Acts Chiefly in Role of Listener to the President's Views. HOOVER FOR FUNDING BOARD Will Urge Congress to Re-create Commission for New Action on War Loans. ROOSEVELT MEETS HOOVER ON DEBTS",president hoover
12218,4fc0d12145c1498b0d49bcf1,1932,"President Hoover, in his newly assumed position as leader of that great mass of American citizens which wants Congress to pass an equitable tax law, a sincere Federal economy measure and adjourn in June, is obviously enjoying the sensation. PRESIDENT CHECKS PARTY ENTHUSIASTS LAUDING HIS ACTION; Friends Say He Is Fearful of Overzealous Claims Hurting His Leadership. NEW APPEAL IS CONSIDERED It Will Depend on the Situation in Congress and on a Possible Defense by Garner. HOUSE BOILS WITH DEBATE Sharp Criticism of His Message Comes From Democrats--Republicans Defend It. PRESIDENT CHECKS PARTY ENTHUSIASTS",president hoover
